sequence,count,length
assignCodPicking -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod -> printfPackage -> saveIsfrageImages -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,12
updatePickAddressCart -> changeCart -> updateDeliverAddressCart -> approvedPackage -> updatePickAddressCart -> changeAlias -> changePackageStatus,1,7
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> verifySessionBags -> distributorCfmDeliver,1,21
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill,1,14
updateDelayReturningByCod -> confirmTmpDelayReturningPackageStatus -> ReturnBill -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> distributorCfmReturning -> importStationByDistributer,1,8
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,29
putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,11
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,26
assignCodPicking -> assignCodPicking -> assignCodPicking -> ArrivePickingPoint -> ArrivePickingPoint -> autoReassignDateDeliver -> updateTmpPickingStatus -> delayPickPackageReason -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmImpPkgFrPONew,1,25
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,1,34
assignCodPicking -> putPackages2Bag -> takeOutPackages2Bag -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill,1,9
assignCodPicking -> updateDelayReturningByCod -> confirmTmpDelayReturningPackageStatus -> ReturnBill -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,9
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,20
assignCodPicking -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> ArrivePickingPoint -> ArrivePickingPoint -> autoReassignDateDeliver -> updateTmpPickingStatus -> delayPickPackageReason -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> cfmTransit -> TransferToBothBill,1,47
assignCodPicking -> verifySessionPackage -> verifySessionPackage -> ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,1,6
changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,9
updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,6
reassignDeliverCart -> updateDeliverWorkShiftPackage -> privateNotePackage -> privateNotePackage,1,4
verifySessionPackage -> verifySessionPackage -> putPackages2Bag -> smartScaleScanningPackage -> putInBox -> verifySessionPackage,1,6
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> distributorCfmReturning -> takeReturningPackages,1,11
privateNotePackage -> distributorCfmDeliver -> privateNotePackage -> feedbackReDelivery -> confirmIssueHandovers -> feedbackReDelivery,1,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> verifySessionBags -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,1,11
distributorCfmDeliver -> ArriveDeliveringPoint -> delayDeliverPackageReason -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> privateNotePackage,1,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,27
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> updateTmpReturningStatus -> confirmTmpReturnedPackageStatus -> ReturnBill,1,22
assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking,1,14
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,1,27
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,1,8
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,1,27
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> saveIsfrageImages -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,1,9
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> distributorCfmReturning -> importStationByDistributer,1,8
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> cfmTransit -> TransferToBothBill,1,31
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer,1,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> changePackageStatus -> assignCodPicking -> changeCodForPackagesInCart -> changeCodForPackagesInCart -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,24
assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking,1,42
assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,12
cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer -> ReturnBill -> updateDelayReturningByCod -> confirmTmpDelayReturningPackageStatus -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,10
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,15
verifySessionPackage -> saveIsfrageImages -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,8
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,33
